Titel;Autor;hkat;ukat1;Kat3;Schlagworte
Hypatia;Arnulf Zitelmann;5;10;;
Verschollen in der Pyramide;Rosa Naumann;5;10;;
Ich fand Tut-ench-Amun;Howard Carter;5;10;;
Rette dich Pharao;Josef Carl Grund;5;10;;
die Welt der Pharaonen;Hans Baumann;5;10;;
Helen Keller;Evelyn Clevé;4;24;;
M.C. Higgins, der Grosse;Virginia Hamilton;4;24;;
Entführung nach Hause;Iva Procházková;4;24;;
Theos Reise;Catherine Clément;4;24;;
Ein Anruf von Sebastian;Irina Korschunow;4;24;;
Blaupause blueprint;Charlotte Kerner;4;24;;
Blaupause blueprint;Charlotte Kerner;4;24;;
Blaupause blueprint;Charlotte Kerner;4;24;;
Meine Schwester Sara;Ruth Weiss;4;24;;
Was du willst;David Klass;4;24;;
Mit offenen Augen;Joyce Carol Oates;4;24;;
Sexy;Joyce Carol Oates;4;24;;
Zwei Wege in den Sommer;Robert Habeck, Andrea Paluch;4;24;;
Wohin du mich führst;David Grossman;4;24;;
Im Schatten der Wächter;Graham Gardner;4;24;;
Und was ist mit mir?;Monika Feth;4;24;;
Der Graf von Monte Christo;Alexandre Dumas;4;24;;
Luna;Julie Anne Peters;4;24;;
Eine wie Alaska;John Green;4;24;;
Pawlows Kinder;Simon Borowiak;4;24;;
Mauer aus Wut;Mats Wahl;4;24;;
Du musst die Wahrheit sagen;Mats Wahl;4;24;;
Alles nur ein Spiel?;Mariah;4;24;;
Unter Freunden;Thomas Fuchs;4;24;;
Wir Kinder vom Bahnhof Zoo;Christiane F.;4;24;;
Behalt das Leben lieb;Jaap ter Haar;4;24;;
Am kürzeren Ende der Sonnenallee;Thomas Brussig;4;24;;
Ich hab dir nie einen Rosengarten versprochen;Hannah Green;4;24;;
Nicht ohne meine Tochter;Betty Mahmoody;4;24;;
Die neuen Leiden des jungen W.;Ulrich Plenzdorf;4;24;;
Die Tante Jolesch;Friedrich Torberg;4;24;;
Die Erben der Tante Jolesch;Friedrich Torberg;4;24;;
Der Abituriententag;Franz Werfel;4;24;;
Der menschliche Makel;Philip Roth;4;24;;
Kristina, vergiß nicht…;Willi Fährmann;4;24;;
Wüstenblume;Waris Dirie;4;24;;
Nomadentochter;Waris Dirie;4;24;;
