titel;Autor_old;autor;hkat;ukat1;ukat2;swort
Hypatia;Arnulf Zitelmann;Zitelmann, Arnulf ;5;10;;
Verschollen in der Pyramide;Rosa Naumann;Naumann, Rosa ;5;10;;
Ich fand Tut-ench-Amun;Howard Carter;Carter, Howard ;5;10;;
Rette dich Pharao;Josef Carl Grund;Grund, Josef Carl;5;10;;
die Welt der Pharaonen;Hans Baumann;Baumann, Hans ;5;10;;
Helen Keller;Evelyn Clevé;Clevé, Evelyn ;4;24;;
M.C. Higgins, der Grosse;Virginia Hamilton;Hamilton, Virginia ;4;24;;
Entführung nach Hause;Iva Procházková;Procházková, Iva ;4;24;;
Theos Reise;Catherine Clément;Clément, Catherine ;4;24;;
Ein Anruf von Sebastian;Irina Korschunow;Korschunow, Irina ;4;24;;
Blaupause blueprint;Charlotte Kerner;Kerner, Charlotte ;4;24;;
Blaupause blueprint;Charlotte Kerner;Kerner, Charlotte ;4;24;;
Blaupause blueprint;Charlotte Kerner;Kerner, Charlotte ;4;24;;
Meine Schwester Sara;Ruth Weiss;Weiss, Ruth ;4;24;;
Was du willst;David Klass;Klass, David ;4;24;;
Mit offenen Augen;Joyce Carol Oates;Oates, Joyce Carol ;4;24;;
Sexy;Joyce Carol Oates;Oates, Joyce Carol ;4;24;;
Zwei Wege in den Sommer;Robert Habeck, Andrea Paluch;Paluch, Andrea / Habeck, Robert ;4;24;;
Wohin du mich führst;David Grossman;Grossman, David ;4;24;;
Im Schatten der Wächter;Graham Gardner;Gardner, Graham ;4;24;;
Und was ist mit mir?;Monika Feth;Feth, Monika ;4;24;;
Der Graf von Monte Christo;Alexandre Dumas;Dumas, Alexandre ;4;24;;
Luna;Julie Anne Peters;Peters, Julie Anne;4;24;;
Eine wie Alaska;John Green;Green, John ;4;24;;
Pawlows Kinder;Simon Borowiak;Borowiak, Simon ;4;24;;
Mauer aus Wut;Mats Wahl;Wahl, Mats ;4;24;;
Du musst die Wahrheit sagen;Mats Wahl;Wahl, Mats ;4;24;;
Alles nur ein Spiel?;Mariah;Mariah, ;4;24;;
Unter Freunden;Thomas Fuchs;Fuchs, Thomas ;4;24;;
Wir Kinder vom Bahnhof Zoo;Christiane F.;F., Christiane ;4;24;;
Behalt das Leben lieb;Jaap ter Haar;Haar, Jaap ter;4;24;;
Am kürzeren Ende der Sonnenallee;Thomas Brussig;Brussig, Thomas ;4;24;;
Ich hab dir nie einen Rosengarten versprochen;Hannah Green;Green, Hannah ;4;24;;
Nicht ohne meine Tochter;Betty Mahmoody;Mahmoody, Betty ;4;24;;
Die neuen Leiden des jungen W.;Ulrich Plenzdorf;Plenzdorf, Ulrich ;4;24;;
Die Tante Jolesch;Friedrich Torberg;Torberg, Friedrich ;4;24;;
Die Erben der Tante Jolesch;Friedrich Torberg;Torberg, Friedrich ;4;24;;
Der Abituriententag;Franz Werfel;Werfel, Franz ;4;24;;
Der menschliche Makel;Philip Roth;Roth, Philip ;4;24;;
Kristina, vergiß nicht…;Willi Fährmann;Fährmann, Willi ;4;24;;
Wüstenblume;Waris Dirie;Dirie, Waris ;4;24;;
Nomadentochter;Waris Dirie;Dirie, Waris ;4;24;;
Das Land, in dem man noe ankommt;André Dhôtel;Dhôtel, André ;4;24;;
Sansibar oder der letzte Grund;Alfred Andersch;Andersch, Alfred ;4;24;;
Der Weg in die Traumzeit;Jackie French;French, Jackie ;4;24;;
Der lange Weg des Lukas B.;Willi Fährmann;Fährmann, Willi ;4;24;;
Denken heisst zum Teufel beten;Wolfgang Kirchner;Kirchner, Wolfgang ;4;24;;
Lucy;Jamaica Kincaid;Kincaid, Jamaica ;4;24;;
Der Tunnel;Bernhard Kellermann;Kellermann, Bernhard ;4;24;;
Die Memoiren des Peterhans von Binningen;Curt Goetz;Goetz, Curt ;4;24;;
Die Macht des Feuers;Henning Mankell;Mankell, Henning ;4;24;;
Ein friedlicher Ort;Joan Lingard;Lingard, Joan ;4;24;;
Oya Fremde Heimat Türkei;König/Straube/Taylan;König/Straube/Taylan, ;4;24;;
Madison und die Freiheit der Jugend;Norma Klein;Klein, Norma ;4;24;;
Das Große Kishon Buch;Langen Müller;Müller, Langen ;4;24;;
Sie haben mich zu einem Ausländer gemacht…;;0;4;24;;
Simple;Marie-Aude Murail;Murail, Marie-Aude ;4;24;;
Simple;Marie-Aude Murail;Murail, Marie-Aude ;4;24;;
Verkauft;Patricia McCormick;McCormick, Patricia ;4;24;;
Marcus Rosenbloom und die Liebe;Harry Mazer;Mazer, Harry ;4;24;;
Meinst du, der Falke hat uns gesehen?;Norma Mazer;Mazer, Norma ;4;24;;
Na, Schwesterech?;Norma Mazer;Mazer, Norma ;4;24;;
Rosalenas Spiegel;Anne Provoost;Provoost, Anne ;4;24;;
Die Zeit der geheimen Wünsche;Iva Procházková;Procházková, Iva ;4;24;;
Leihst du mir deinen Blick;Valérie Zenatti;Zenatti, Valérie ;4;24;;
Wir treffen uns wieder in meinem Paradies;Christel & Isabell Zachert;Zachert, Isabell & Christel ;4;24;;
Nur eine Liste;Siobhan Vivian;Vivian, Siobhan ;4;24;;
Salto abwärts;Dieter Schliwka;Schliwka, Dieter ;4;24;;
Aristoteles und Dnate entdecken die Geheimnisse des Universums;Benjamin Alire Sáenz;Sáenz, Benjamin Alire ;4;24;;
